Nombre;IP;PUERTO
Simon2_4_simon_Prod;10.1.5.148;5884
Simon2_8_simon_Prod;10.1.5.148;5880
Capi1_simon_Prod;10.1.5.46;5897
Simon1_3_simon_Prod;10.1.5.46;5893
Simon1_simon_Prod;10.1.5.46;5895
Simon2_5_simon_Prod;10.1.5.46;5883
Simon2_simon_Prod;10.1.5.46;5887
Simon3_simon_Prod;10.1.5.46;5879
Simon1_2_simon_Prod;10.1.5.47;5894
Simon1_4_simon_Prod;10.1.5.47;5892
Simon2_2_simon_Prod;10.1.5.47;5886
Simon2_6_simon_Prod;10.1.5.47;5882
Simon3_2_simon_Prod;10.1.5.47;5878
Simon1_5_simon_Prod;10.1.5.95;5891
Simon1_7_simon_Prod;10.1.5.95;5889
Simon2_3_simon_Prod;10.1.5.95;5885
Simon2_7_simon_Prod;10.1.5.95;5881
Asistencia_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5897
PlataformaServicios_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5895
PlataformaWebTier_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5893
PureCloudCore_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5891
PureCloudWeb_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5889
ServiciosWeb_2_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.188;5887
PlataformaServicios_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5896
PlataformaWebTier_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5894
PureCloudCore_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5892
PureCloudWeb_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5890
Asistencia_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5898
ServiciosWeb_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5888
WLPA12cAdmin_WLP12110JR6_ASISTE_BOL_JA_Prod;10.1.5.189;5886
Servicios1_serviciosprod_Prod_1223;10.1.5.42;5895
AdminServer_serviciosprod_Prod_1223;10.1.5.42;5898
Idigital1_serviciosprod_Prod_1223;10.1.5.42;5897
Idigital1_2_serviciosprod_Prod_1223;10.1.5.43;5896
Servicios1_2_serviciosprod_Prod_1223;10.1.5.43;5894
AdminServer_transversalesprod_Prod_1_1223;10.1.5.42;5893
ESignature1_transversalesprod_Prod_1_1223;10.1.5.42;5892
Impresion1_transversalesprod_Prod_1_1223;10.1.5.42;5890
Transversales1_transversalesprod_Prod_1_1223;10.1.5.42;5888
ESignature1_2_transversalesprod_Prod_1_1223;10.1.5.43;5891
Impresion1_2_transversalesprod_Prod_1_1223;10.1.5.43;5889
Transversales1_2_transversalesprod_Prod_1_1223;10.1.5.43;5887
AdminServer_saludprod_Prod_1223;10.1.5.42;5886
Salud3_saludprod_Prod_1223;10.1.5.42;5885
Salud3_2_saludprod_Prod_1223;10.1.5.43;5884
AdminServer_externosprod_Prod_1223;10.1.5.42;5883
Grupo_Bolivar1_externosprod_Prod_1223;10.1.5.42;5878
Clientes1_externosprod_Prod_1223;10.1.5.42;5882
Davivienda1_externosprod_Prod_1223;10.1.5.42;5880
Libertador1_externosprod_Prod_1223;10.1.5.42;5876
ODigital_externosprod_Prod_1223;10.1.5.42;5874
PureCloudAstb_externosprod_Prod_1223;10.1.5.42;5871
PureCloud_externosprod_Prod_1223;10.1.5.42;5872
Clientes1_2_externosprod_Prod_1223;10.1.5.43;5881
Davivienda1_2_externosprod_Prod_1223;10.1.5.43;5879
Grupo_Bolivar1_2_externosprod_Prod_1223;10.1.5.43;5877
Libertador1_2_externosprod_Prod_1223;10.1.5.43;5875
ODigital_2_externosprod_Prod_1223;10.1.5.43;5873
PureCloudAstb_2_externosprod_Prod_1223;10.1.5.43;5870
PureCloud_2_externosprod_Prod_1223;10.1.5.43;5869
AdminServer_Terceros_terceros_prod_Prod_14;10.1.5.42;5868
Terceros1_terceros_prod_Prod_14;10.1.5.42;5867
Terceros1_2_terceros_prod_Prod_14;10.1.5.43;5866
AdminServer_wlprod_Prod_1;10.1.5.42;5865
Srvprod1_wlprod_Prod_1;10.1.5.42;5864
Srvprod2_wlprod_Prod_1;10.1.5.42;5863
Srvprod3_wlprod_Prod_1;10.1.5.42;5862
Srvprod4_wlprod_Prod_1;10.1.5.42;5861
Srvprod6_wlprod_Prod_1;10.1.5.42;5860
AdminServer_wlprod_Prod_2;10.1.5.43;5859
Srvprod1_wlprod_Prod_2;10.1.5.43;5858
Srvprod2_wlprod_Prod_2;10.1.5.43;5857
Srvprod3_wlprod_Prod_2;10.1.5.43;5856
Srvprod4_wlprod_Prod_2;10.1.5.43;5855
Srvprod6_wlprod_Prod_2;10.1.5.43;5854
AdminServer_Prodias_frm_Prod;10.1.5.81;7061
WLS_FORMS_CAPI1_Prodias_frm;10.1.5.81;7063
WLS_FORMS_PREST1_Prodias_frm;10.1.5.81;7064
WLS_FORMS_TER1_Prodias_frm;10.1.5.81;7065
WLS_REPORTS_CAPI1_Prodias_frm;10.1.5.81;7066
WLS_REPORTS_PREST1_Prodias_frm;10.1.5.81;7067
WLS_REPORTS_TER1_Prodias_frm;10.1.5.81;7068
WLS_FORMS_CAPI1_2_Prodias_frm;10.1.5.88;7063
WLS_FORMS_PREST1_2_Prodias_frm;10.1.5.88;7064
WLS_FORMS_TER1_2_Prodias_frm;10.1.5.88;7065
WLS_REPORTS_CAPI1_2_Prodias_frm;10.1.5.88;7066
WLS_REPORTS_PREST1_2_Prodias_frm;10.1.5.88;7067
WLS_REPORTS_TER1_2_Prodias_frm;10.1.5.88;7068
Transversales1_4_transversalesprod_Prod_2_1211;10.6.4.135;5889
Transversales1_3_transversalesprod_Prod_2_1211;10.6.4.135;5890
AdminServer_transversalesprod_Prod_1_1211;10.6.4.132;5898
Impresion1_2_transversalesprod_Prod_2_1211;10.6.4.132;5896
Impresion1_transversalesprod_Prod_2_1211;10.6.4.132;5897
Transversales1_2_transversalesprod_Prod_2_1211;10.6.4.132;5890
Transversales1_transversalesprod_Prod_2_1211;10.6.4.132;5891
Libertador1_Externosprod_Prod_1211;10.6.4.134;5891
AdminServer_Externosprod_Prod_1211;10.6.4.134;5898
Clientes1_2_Externosprod_Prod_1211;10.6.4.134;5896
Clientes1_Externosprod_Prod_1211;10.6.4.134;5897
Libertador1_2_Externosprod_Prod_1211;10.6.4.134;5890
Servicios3_3_serviciosprod_Prod_1211;10.6.4.135;5885
Servicios1_6_serviciosprod_Prod_1211;10.6.4.135;5883
Servicios1_3_serviciosprod_Prod_1211;10.6.4.135;5892
Servicios1_4_serviciosprod_Prod_1211;10.6.4.135;5891
Servicios2_3_serviciosprod_Prod_1211;10.6.4.135;5888
AdminServer_serviciosprod_Prod_1211;10.6.4.136;5898
Servicios1_2_serviciosprod_Prod_1211;10.6.4.136;5893
Servicios1_5_serviciosprod_Prod_1211;10.6.4.136;5884
Servicios1_serviciosprod_Prod_1211;10.6.4.136;5894
Servicios2_2_serviciosprod_Prod_1211;10.6.4.136;5889
Servicios2_serviciosprod_Prod_1211;10.6.4.136;5890
Servicios3_2_serviciosprod_Prod_1211;10.6.4.136;5886
Servicios3_serviciosprod_Prod_1211;10.6.4.136;5887
Agenda1_2_ATGCPROD_Prod_14;10.6.4.138;5871
Agenda1_ATGCPROD_Prod_14;10.6.4.138;5870
AdminServer_ATGCPROD_Prod_14;10.6.4.138;5859
Atgc1_2_ATGCPROD_Prod_14;10.6.4.138;5894
Atgc1_ATGCPROD_Prod_14;10.6.4.138;5895
Siebel1_3_tercerosprod_Prod_14;10.6.4.138;5901
Siebel1_4_tercerosprod_Prod_14;10.6.4.138;5900
Terceros1_3_tercerosprod_Prod_14;10.6.4.138;5899
Terceros1_4_tercerosprod_Prod_14;10.6.4.138;5898
AdminServer_tercerosprod_Prod_14;10.6.4.139;5898
Siebel1_tercerosprod_Prod_14;10.6.4.139;5897
Siebel1_2_tercerosprod_Prod_14;10.6.4.139;5896
Terceros1_2_tercerosprod_Prod_14;10.6.4.139;5894
Terceros1_tercerosprod_Prod_14;10.6.4.139;5895
Clientes1_2_Externosprod_Prod_14;10.7.6.23;5876
AdminServer_Externosprod_Prod_14;10.7.6.23;5880
Clientes1_Externosprod_Prod_14;10.7.6.23;5875
Davivienda1_2_Externosprod_Prod_14;10.7.6.23;5868
Davivienda1_Externosprod_Prod_14;10.7.6.23;5867
Libertador1_2_Externosprod_Prod_14;10.7.6.23;5872
Libertador1_Externosprod_Prod_14;10.7.6.23;5871
Libertador2_2_Externosprod_Prod_14;10.7.6.23;5874
Libertador2_Externosprod_Prod_14;10.7.6.23;5873
Servicios1_2_serviciosprod_Prod_14;10.7.6.24;5893
Servicios1_serviciosprod_Prod_14;10.7.6.24;5894
Servicios2_2_serviciosprod_Prod_14;10.7.6.24;5889
Servicios2_serviciosprod_Prod_14;10.7.6.24;5890
Servicios3_2_serviciosprod_Prod_14;10.7.6.24;5886
Servicios3_serviciosprod_Prod_14;10.7.6.24;5887
AdminServer_serviciosprod_Prod_14;10.7.6.24;5869
Idigital1_2_serviciosprod_Prod_14;10.7.6.24;5896
Idigital1_serviciosprod_Prod_14;10.7.6.24;5897
Impresion1_2_transversalesprod_Prod_14;10.7.6.25;9057
Impresion1_transversalesprod_Prod_14;10.7.6.25;9056
Impresion2_2_transversalesprod_Prod_14;10.7.6.25;9059
Impresion2_transversalesprod_Prod_14;10.7.6.25;9058
Transversales1_2_transversalesprod_Prod_14;10.7.6.25;9066
Transversales1_transversalesprod_Prod_14;10.7.6.25;9065
Facturacion1_transversalesprod_Prod_14;10.7.6.25;9063
Facturacion1_2_transversalesprod_Prod_14;10.7.6.25;9064
AdminServer_transversalesprod_Prod_14;10.7.6.25;9089
ESignature1_2_transversalesprod_Prod_14;10.7.6.25;9055
ESignature1_transversalesprod_Prod_14;10.7.6.25;9054
Facturacion1_3_transversalesprod_Prod_14;10.7.6.8;9051
Facturacion1_4_transversalesprod_Prod_14;10.7.6.8;9052
AdminServer_SALUDPROD_Prod_1224;10.7.6.32;7030
Salud1_3_SALUDPROD_Prod_1224;10.7.6.24;5898
Salud1_4_SALUDPROD_Prod_1224;10.7.6.24;5899
Salud1_2_SALUDPROD_Prod_1224;10.7.6.32;5896
Salud1_SALUDPROD_Prod_1224;10.7.6.32;5897
AdminServer_SOA_Prod_1_1_soa_domain_prod;10.7.6.39;5898
osb_hpe1_Prod_1_1224_soa_domain_prod;10.7.6.39;5897
osb_server1_Prod_1_1224_soa_domain_prod;10.7.6.39;5894
osb_server2_Prod_1_1224_soa_domain_prod;10.7.6.39;5893
soa_server1_Prod_1_1224_soa_domain_prod;10.7.6.39;9003
soa_server2_Prod_1_1224_soa_domain_prod;10.7.6.42;9003
osb_hpe2_Prod_1_1224_soa_domain_prod;10.7.6.42;5896
osb_server3_Prod_1_1224_soa_domain_prod;10.7.6.42;5892
osb_server4_Prod_1_1224_soa_domain_prod;10.7.6.42;5891
soa_server3_Prod_1_1224_soa_domain_prod;10.7.6.45;9003
osb_hpe3_Prod_1_1224_soa_domain_prod;10.7.6.45;5895
osb_server5_Prod_1_1224_soa_domain_prod;10.7.6.45;5890
osb_server6_Prod_1_1224_soa_domain_prod;10.7.6.45;5889
AdminServer_Psai_frm_prod;10.7.6.61;6001
WLS_FORMS_PSAI1_Psai_frm_prod;10.7.6.61;7095
WLS_REPORTS_PSAI1_Psai_frm_prod;10.7.6.61;7096
WLS_FORMS_PSAI2_Psai_frm_prod;10.7.6.62;7095
WLS_REPORTS_PSAI2_Psai_frm_prod;10.7.6.62;7096
Avaluos2_avaluosprod_Prod_14;10.7.6.23;5859
AdminServer_avaluosprod_Prod_14;10.7.6.8;7070
Avaluos1_avaluosprod_Prod_14;10.7.6.8;5860
